id,timestamp,username,text,provided_location
23,2026-03-17T22:30:45.941295,real_user_12,Anyone going to the concert tonight?,Houston
188,2026-03-17T22:30:45.941295,real_user_7,Just had a great coffee.,Miami
77,2026-03-17T22:30:45.941295,real_user_18,Violent attack reported on 5th avenue.,
138,2026-03-17T22:30:45.941295,real_user_6,Just had a great coffee.,Miami
177,2026-03-17T22:30:45.941295,real_user_14,Anyone going to the concert tonight?,Chicago
6,2026-03-17T22:30:45.941295,real_user_11,Traffic is terrible right now.,Los Angeles
101,2026-03-17T22:30:45.941295,real_user_19,I heard the water is poisoned. Don't drink it!,Houston
184,2026-03-17T22:31:45.941295,real_user_11,I love the new update.,Chicago
98,2026-03-17T22:31:45.941295,real_user_18,Omg I just heard an explosion near the station in Chicago.,
127,2026-03-17T22:32:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
168,2026-03-17T22:32:45.941295,real_user_9,They are imposing a curfew tonight. Everyone panic!,Houston
0,2026-03-17T22:32:45.941295,real_user_1,Traffic is terrible right now.,Los Angeles
118,2026-03-17T22:33:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
124,2026-03-17T22:33:45.941295,real_user_4,Looking forward to the weekend.,
93,2026-03-17T22:33:45.941295,real_user_1,Weather is so nice today!,Miami
85,2026-03-17T22:33:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
11,2026-03-17T22:33:45.941295,real_user_7,There is a massive riot in downtown New York! Stay away!,New York
95,2026-03-17T22:34:45.941295,real_user_13,I love the new update.,
42,2026-03-17T22:34:45.941295,real_user_18,Omg I just heard an explosion near the station in Chicago.,Los Angeles
156,2026-03-17T22:34:45.941295,real_user_18,Violent attack reported on 5th avenue.,Houston
122,2026-03-17T22:35:45.941295,real_user_19,Gunshots heard in the mall! Run!,Miami
49,2026-03-17T22:36:45.941295,real_user_4,I heard the water is poisoned. Don't drink it!,
128,2026-03-17T22:36:45.941295,real_user_12,Anyone going to the concert tonight?,Chicago
141,2026-03-17T22:36:45.941295,real_user_1,Looking forward to the weekend.,Miami
140,2026-03-17T22:36:45.941295,real_user_16,Just had a great coffee.,New York
13,2026-03-17T22:36:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
15,2026-03-17T22:37:45.941295,real_user_4,Just had a great coffee.,Chicago
84,2026-03-17T22:37:45.941295,real_user_16,Traffic is terrible right now.,Los Angeles
94,2026-03-17T22:38:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
148,2026-03-17T22:38:45.941295,real_user_13,Omg I just heard an explosion near the station in Chicago.,
47,2026-03-17T22:38:45.941295,real_user_17,Weather is so nice today!,Miami
126,2026-03-17T22:38:45.941295,real_user_11,Just had a great coffee.,Miami
183,2026-03-17T22:39:45.941295,real_user_19,Just had a great coffee.,New York
150,2026-03-17T22:39:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
169,2026-03-17T22:40:45.941295,real_user_3,Can anyone recommend a good movie?,Miami
145,2026-03-17T22:40:45.941295,real_user_12,I love the new update.,
151,2026-03-17T22:40:45.941295,real_user_18,There is a massive riot in downtown New York! Stay away!,
29,2026-03-17T22:40:45.941295,real_user_8,Looking forward to the weekend.,Miami
27,2026-03-17T22:40:45.941295,real_user_3,Just had a great coffee.,Los Angeles
165,2026-03-17T22:40:45.941295,real_user_9,Weather is so nice today!,Houston
36,2026-03-17T22:41:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
147,2026-03-17T22:41:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
198,2026-03-17T22:42:45.941295,real_user_10,Traffic is terrible right now.,
58,2026-03-17T22:42:45.941295,real_user_19,Gunshots heard in the mall! Run!,Los Angeles
125,2026-03-17T22:42:45.941295,real_user_8,They are imposing a curfew tonight. Everyone panic!,Chicago
32,2026-03-17T22:42:45.941295,real_user_15,Anyone going to the concert tonight?,Los Angeles
162,2026-03-17T22:43:45.941295,real_user_6,Can anyone recommend a good movie?,Chicago
159,2026-03-17T22:43:45.941295,real_user_11,Just had a great coffee.,Chicago
79,2026-03-17T22:43:45.941295,real_user_8,Looking forward to the weekend.,
9,2026-03-17T22:44:45.941295,alert_bot_99,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
171,2026-03-17T22:44:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
65,2026-03-17T22:44:45.941295,real_user_7,Violent attack reported on 5th avenue.,
39,2026-03-17T22:44:45.941295,real_user_11,Omg I just heard an explosion near the station in Chicago.,Miami
16,2026-03-17T22:45:45.941295,real_user_9,Just had a great coffee.,Chicago
4,2026-03-17T22:45:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
173,2026-03-17T22:46:45.941295,real_user_1,I love the new update.,
63,2026-03-17T22:46:45.941295,real_user_12,Violent attack reported on 5th avenue.,Los Angeles
102,2026-03-17T22:46:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
199,2026-03-17T22:46:45.941295,real_user_18,Looking forward to the weekend.,
56,2026-03-17T22:46:45.941295,real_user_17,Looking forward to the weekend.,Los Angeles
83,2026-03-17T22:47:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
133,2026-03-17T22:47:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
143,2026-03-17T22:47:45.941295,real_user_9,Anyone going to the concert tonight?,Los Angeles
174,2026-03-17T22:48:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
34,2026-03-17T22:48:45.941295,real_user_17,Traffic is terrible right now.,Los Angeles
180,2026-03-17T22:48:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
69,2026-03-17T22:48:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
181,2026-03-17T22:49:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
92,2026-03-17T22:49:45.941295,real_user_2,Traffic is terrible right now.,Miami
87,2026-03-17T22:50:45.941295,real_user_19,Traffic is terrible right now.,Houston
53,2026-03-17T22:50:45.941295,real_user_3,I love the new update.,New York
146,2026-03-17T22:51:45.941295,real_user_16,Weather is so nice today!,Chicago
108,2026-03-17T22:51:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
175,2026-03-17T22:51:45.941295,real_user_2,There is a massive riot in downtown New York! Stay away!,Chicago
116,2026-03-17T22:51:45.941295,real_user_12,Weather is so nice today!,Chicago
112,2026-03-17T22:52:45.941295,real_user_2,Can anyone recommend a good movie?,
81,2026-03-17T22:52:45.941295,real_user_4,Just had a great coffee.,Los Angeles
12,2026-03-17T22:52:45.941295,real_user_3,Anyone going to the concert tonight?,Chicago
55,2026-03-17T22:52:45.941295,real_user_9,I heard the water is poisoned. Don't drink it!,Miami
157,2026-03-17T22:53:45.941295,real_user_3,Looking forward to the weekend.,
5,2026-03-17T22:53:45.941295,real_user_8,Anyone going to the concert tonight?,New York
172,2026-03-17T22:54:45.941295,real_user_16,Traffic is terrible right now.,Los Angeles
131,2026-03-17T22:54:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
104,2026-03-17T22:54:45.941295,real_user_14,Can anyone recommend a good movie?,
30,2026-03-17T22:54:45.941295,real_user_11,Anyone going to the concert tonight?,Chicago
50,2026-03-17T22:54:45.941295,real_user_19,They are imposing a curfew tonight. Everyone panic!,Chicago
76,2026-03-17T22:55:45.941295,real_user_17,I love the new update.,New York
176,2026-03-17T22:55:45.941295,real_user_17,Just had a great coffee.,Los Angeles
52,2026-03-17T22:55:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
105,2026-03-17T22:55:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
186,2026-03-17T22:56:45.941295,real_user_10,Gunshots heard in the mall! Run!,Los Angeles
160,2026-03-17T22:56:45.941295,real_user_7,There is a massive riot in downtown New York! Stay away!,Houston
153,2026-03-17T22:57:45.941295,real_user_13,Violent attack reported on 5th avenue.,Miami
59,2026-03-17T22:57:45.941295,real_user_5,Just had a great coffee.,Chicago
38,2026-03-17T22:57:45.941295,real_user_4,Looking forward to the weekend.,Houston
8,2026-03-17T22:57:45.941295,auto_poster,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
136,2026-03-17T22:58:45.941295,real_user_2,Anyone going to the concert tonight?,Miami
17,2026-03-17T22:58:45.941295,spam_king,Copy paste message: Urgent! Bank run imminent! Withdraw your cash now! Don't trust them!,New York
28,2026-03-17T22:58:45.941295,real_user_15,Violent attack reported on 5th avenue.,Miami
193,2026-03-17T22:59:45.941295,real_user_2,Can anyone recommend a good movie?,New York
78,2026-03-17T22:59:45.941295,real_user_8,Weather is so nice today!,New York
66,2026-03-17T22:59:45.941295,real_user_6,They are imposing a curfew tonight. Everyone panic!,
24,2026-03-17T22:59:45.941295,real_user_5,Omg I just heard an explosion near the station in Chicago.,
